6453691-13,53206572,243649147,51.486295
6453691-10,243649438,53114108,46.994748
6453691-11,53114108,243649152,49.961483
15257844-0,30230277,30230281,206.618008
6371744-0,53114130,53114131,22.253614
10425980-25,53184559,67434767,40.290517
10425980-24,67434791,53184559,37.003642
10425980-27,53132742,67434748,42.804459
10425980-26,67434767,53132742,38.106757
10425980-21,67434825,53184557,39.652663
10425980-20,53093269,67434825,37.716543
10425980-23,53184558,67434791,7.076532
10425980-22,53184557,53184558,36.058076
10425980-29,53176340,53184560,88.790689
10425980-28,67434748,53176340,38.489469
6493592-0,53223559,53237237,202.229357
6493592-1,53237237,53181934,200.735453
6410106-0,53067562,53160777,84.345359
7991942-0,59818021,59818024,61.087956
6513107-0,53131402,53188205,130.350576
6515078-0,53243328,53194408,93.406523
6515078-1,53194408,53198116,98.141278
6515078-2,53198116,53099199,94.440136
6515078-3,53099199,151962828,49.777948
6515078-4,151962828,53171884,170.694119
6515078-5,53171884,53186098,115.137208
6515078-6,53186098,53196493,109.858269
6515078-7,53196493,53246703,134.599998
6554005-0,53276640,53276642,119.116750
6441295-1,53196076,53196077,132.702894
6441295-0,53186096,53196076,106.537003
6463231-9,53214292,53214293,66.684547
6463231-8,53168437,53214292,88.912740
6463231-5,53081897,53125521,222.282043
6463231-4,53088172,53081897,88.912839
6463231-7,53145023,53168437,211.703100
6463231-6,53125521,53145023,179.251811
6463231-1,53165961,53214290,77.798770
6463231-0,53214289,53165961,111.141116
6463231-3,53214291,53088172,100.026958
6463231-2,53214290,53214291,111.141083
6454429-2,53141473,53069885,100.661928
6454429-0,53207169,53207170,8.399996
6454429-1,53207170,53141473,49.664397
4921374-0,29939325,29939329,108.844220
6361797-0,53102382,53102383,41.711477
6389981-0,53136945,53136950,224.361070
6433374-4,53188394,60002784,194.318254
6433374-5,60002784,60002785,12.746709
6433374-0,53188391,53188392,199.001439
6433374-1,53188392,53147249,216.211099
6433374-2,53147249,53188393,191.458480
6433374-3,53188393,53188394,203.639722
6444239-0,53198217,53095152,100.928798
6430432-16,53185733,53185734,49.089700
6430432-17,53185734,53185735,51.561439
6430432-14,53185731,53185732,51.048571
6430432-15,53185732,53185733,49.461794
6430432-12,53129921,53185730,52.109979
6430432-13,53185730,53185731,49.848459
6430432-10,244285025,53129919,6.986739
6430432-11,53129919,53129921,42.418202
6430432-18,53185735,53050322,7.928861
6402586-0,53151740,53151741,84.037691
6439895-8,53194673,53194674,53.714289
6439895-2,53194671,53128291,123.749191
6439895-3,53128291,53134892,50.760546
6439895-0,53194670,53152504,204.703297
6439895-1,53152504,53194671,128.014312
6439895-6,53025219,53090807,69.158047
6439895-7,53090807,53194673,104.785487
6439895-4,53134892,53040935,18.265213
6439895-5,53040935,53025219,226.265068
6481754-0,53181900,53141808,127.913921
15367128-6,152264675,152264657,103.814272
15367128-4,152264684,152264664,84.251871
15367128-5,152264664,152264675,57.155495
15367128-2,152264710,152264698,104.683960
15367128-3,152264698,152264684,105.785350
15367128-0,53093554,152264713,137.291307
15367128-1,152264713,152264710,75.821117
6383248-8,53128110,53128112,93.295787
6383248-9,53128112,53128113,112.804396
6383248-6,53128107,53128109,94.678629
6383248-7,53128109,53128110,94.082202
6383248-4,53128105,53128106,92.182058
6383248-5,53128106,53128107,97.713435
6383248-2,53128102,53128104,91.469862
6383248-3,53128104,53128105,93.504721
6383248-0,53076857,53098480,93.559438
6383248-1,53098480,53128102,92.325694
4722416-0,30078802,251301296,228.510316
14010208-0,53129288,53088988,92.111751
6392828-0,53140464,53140466,112.826344
6392828-1,53140466,53140467,105.304575
6392828-2,53140467,53138869,97.782808
6392828-3,53138869,53120915,105.304550
6392828-4,53120915,53140469,105.304537
6392828-5,53140469,53140470,97.782773
6392828-6,53140470,53120235,97.782762
