X,Y,NUMEROLIGN,IDT_SOURCE,CODCOM,COMMUNE,STATUT_,DESIGNATIO,CENTROIDX,CENTROIDY,COMMUNES,TOTAL,TOTAL_R,IDLIGNE
5.386170023578729,43.292743941416113,                   96.0000000000,0131336G,                13205.0000000000,MARSEILLE,PRIVE,CHEVREUL CHAMPAVIER,,,MARSEILLE 05,332,                  332.0000000000,92
5.389940599924026,43.30035657209622,                   97.0000000000,0132946G,                13205.0000000000,MARSEILLE,PRIVE,SAINT CHARLES CAMAS,,,MARSEILLE 05,486,                  486.0000000000,93
5.387480817271072,43.29237048473648,                   98.0000000000,0130110Z,                13205.0000000000,MARSEILLE,PUBLIC,JEAN MALRIEU,,,MARSEILLE 05,376,                  376.0000000000,94
5.375905247145396,43.285665384939847,                   99.0000000000,0131943S,                13206.0000000000,MARSEILLE,PUBLIC,PIERRE PUGET,,,MARSEILLE 06,620,                  620.0000000000,95
5.37299507852014,43.286776700950043,                  100.0000000000,0132911U,                13206.0000000000,MARSEILLE,PRIVE,NOTRE DAME DE FRANCE,,,MARSEILLE 05,311,                  311.0000000000,96
5.373758824524361,43.289505339813523,                  102.0000000000,0131689R,                13206.0000000000,MARSEILLE,PRIVE,SAINT VINCENT DE PAUL,,,MARSEILLE 06,217,                  217.0000000000,97
5.377056000182932,43.294968837108037,                  103.0000000000,0132953P,                13206.0000000000,MARSEILLE,PRIVE,ST THOMAS D AQUIN,,,MARSEILLE 06,213,                  213.0000000000,98
5.377052310804557,43.289257471785263,                  104.0000000000,0133374X,                13206.0000000000,MARSEILLE,PRIVE,AMI,,,MARSEILLE 06,245,                  245.0000000000,99
5.377754557169708,43.289049179612036,                  105.0000000000,0132958V,                13206.0000000000,MARSEILLE,PRIVE,ST JOSEPH (LES MARISTES),,,MARSEILLE 05,495,                  495.0000000000,100
5.378130754312738,43.296281314337335,                  106.0000000000,0131938L,                13206.0000000000,MARSEILLE,PRIVE,INSTITUT LESCHI,,,MARSEILLE 06,10,                   10.0000000000,101
5.381956563823269,43.291592145749178,                  107.0000000000,0132909S,                13206.0000000000,MARSEILLE,PRIVE,CRS BASTIDE,,,MARSEILLE 06,365,                  365.0000000000,102
5.372597385588564,43.293016716092602,                  108.0000000000,0132561N,                13206.0000000000,MARSEILLE,PUBLIC,ANATOLE FRANCE,,,MARSEILLE 06,316,                  316.0000000000,103
5.356222622776796,43.29044999503796,                  109.0000000000,0132205B,                13207.0000000000,MARSEILLE,PUBLIC,GASTON DEFFERRE,,,MARSEILLE 07,502,                  502.0000000000,104
5.375391541801084,43.240087057672653,                  110.0000000000,0131923V,                13208.0000000000,MARSEILLE,PUBLIC,MARSEILLEVEYRE,,,MARSEILLE 08,1000,                 1000.0000000000,105
5.382202228656555,43.264229513319535,                  111.0000000000,0131927Z,                13208.0000000000,MARSEILLE,PUBLIC,HONORE DAUMIER,,,MARSEILLE 08,719,                  719.0000000000,106
5.379753658317929,43.272393798993377,                  112.0000000000,0132913W,                13208.0000000000,MARSEILLE,PRIVE,DE PROVENCE,,,MARSEILLE 08,714,                  714.0000000000,107
5.381553582490921,43.281024549110164,                  113.0000000000,0132914X,                13208.0000000000,MARSEILLE,PRIVE,CLUNY,,,MARSEILLE 08,756,                  756.0000000000,108
5.383915676315461,43.284167177205681,                  114.0000000000,0131385K,                13208.0000000000,MARSEILLE,PRIVE,ST EUGENE DE MAZENOD,,,MARSEILLE 08,106,                  106.0000000000,109
5.388988264641942,43.260334718546673,                  115.0000000000,0131371V,                13208.0000000000,MARSEILLE,PRIVE,STE ANNE,,,MARSEILLE 08,225,                  225.0000000000,110
5.376792357412432,43.279681954893931,                  116.0000000000,0131603X,                13208.0000000000,MARSEILLE,PUBLIC,ADOLPHE MONTICELLI,,,MARSEILLE 08,558,                  558.0000000000,111
5.407730973284048,43.260161261362491,                  117.0000000000,0131548M,                13209.0000000000,MARSEILLE,PUBLIC,SYLVAIN MENU,,,MARSEILLE 09,667,                  667.0000000000,112
5.417929071571689,43.266807008953712,                  118.0000000000,0132310R,                13209.0000000000,MARSEILLE,PUBLIC,VALLON DE TOULOUSE,,,MARSEILLE 09,359,                  359.0000000000,113
5.401979050777225,43.257100090358655,                  119.0000000000,0130084W,                13209.0000000000,MARSEILLE,PUBLIC,GRANDE BASTIDE,,,MARSEILLE 09,553,                  553.0000000000,114
5.39175706206355,43.243105305241819,                  120.0000000000,0131602W,                13209.0000000000,MARSEILLE,PUBLIC,ROY D ESPAGNE,,,MARSEILLE 09,498,                  498.0000000000,115
5.399465016877008,43.265599904797263,                  121.0000000000,0130139F,                13209.0000000000,MARSEILLE,PUBLIC,COIN JOLI SEVIGNE,,,MARSEILLE 09,284,                  284.0000000000,116
5.40387165250468,43.250371393879064,                  122.0000000000,0132951M,                13209.0000000000,MARSEILLE,PRIVE,SAINTE TRINITE,,,MARSEILLE 09,433,                  433.0000000000,117
5.408427474023983,43.270401821997247,                  123.0000000000,0132277E,                13209.0000000000,MARSEILLE,PRIVE,LA SOURCE (INST. FRANCO HEBR.),,,MARSEILLE 09,57,                   57.0000000000,118
5.41908761211215,43.264083783539128,                  124.0000000000,0131382G,                13209.0000000000,MARSEILLE,PRIVE,PASTRE,,,MARSEILLE 09,368,                  368.0000000000,119
5.419344956624444,43.268978857763884,                  125.0000000000,0132965C,                13209.0000000000,MARSEILLE,PRIVE,BETH MYRIAM,,,MARSEILLE 09,74,                   74.0000000000,120
5.404632869156519,43.270353766031498,                  126.0000000000,0132311S,                13209.0000000000,MARSEILLE,PUBLIC,LOUIS PASTEUR,,,MARSEILLE 09,471,                  471.0000000000,121
